claim,label,language,output,final_answer,correct,inconclusive
We give 42 dollars more money from Europeans natural gas,mostly false,tr,Nihai Cevap: Yanlış,false,False,False
"There Are No Problems in The Religious Sphere in Azerbaijan, Religious Freedom is Fully Ensured",mostly false,az,Son Cavab: Əsasən Yanlış,mostly false,True,False
"As we approached 2023, we set a target of being the 10 largest economies in the world.Nowadays, we are in danger of going out of the top 20.",mostly false,tr,Nihai Cevap: Yanlış,false,False,False
Türkiye has imported agricultural products for more than 120 billion dollars of food in the last 10 years.,half true,tr,Nihai Cevap: Doğru,true,False,False
500 thousand people lost jobs in a month in the USA in the crisis.There was no smallest decrease in our employment in Turkey.,mostly false,tr,Nihai Cevap: Yanlış,false,False,False
"In Turkey, producers do not equulate because they could not get along and damage the size of two Thrace.",mostly true,tr,Nihai Cevap: Yanlış,false,False,False
"After 2002, when the AK Party came to power",half true,tr,Nihai Cevap: Doğru,true,False,False
"We became a country that makes 75 percent of the helicopter, tank and defense industry.",mostly false,tr,Nihai Cevap: Yarı Doğru,true,False,False
The MoNE budget increased by 8 times compared to 2002 and rose to 62 billion pounds.,mostly false,tr,"Bu ifadenin doğruluğunu değerlendirmek için 2002 yılı ve mevcut yıl arasındaki Milli Eğitim Bakanlığı (MoNE) bütçesi verilerini karşılaştırmak gerekmektedir. Ancak, elimde bu veriler olmadığı için kesin bir değerlendirme yapamıyorum. Eğer ifade edilen artış oranı ve bütçe miktarı resmi kaynaklar tarafından doğrulanmışsa, ifade doğru kabul edilebilir. Aksi takdirde, ifade yanlış veya yanıltıcı olabilir.

Genel bir değerlendirme yapacak olursak:

- Eğer 2002 yılı MoNE bütçesi 7.75 milyar TL civarındaysa ve güncel bütçe 62 milyar TL ise, bu durumda ifade doğru olabilir.
- Ancak, 2002 yılı bütçesi ve güncel bütçe arasında bu kadar büyük bir fark yoksa, ifade yanlış olur.

Bu nedenle, kesin bir veri olmadan nihai bir cevap vermek zordur. Ancak, varsayımsal olarak doğru kabul edersek:

Nihai Cevap: Doğru",true,False,False
We Have Saved 200 Million AZN AS A Result Of The Abolition Of Unfounded And False Appointments,mostly false,az,Son Cavab: Doğru,true,False,False
Elshad Mirbashiroglu's claim on visa regime with the European Union,half true,az,Son Cavab: Doğru,true,False,False
"According to the figures described, the average inflation of the 12 -month inflation is the highest rate after 2019, considering the same months of the last 10 years (February).This figure is followed by 2018 data.In short, after switching to the presidential system in Turkey, inflation began to break records in succession",true,tr,Nihai Cevap: Doğru,true,True,False
"At the end of 2002, the Turkish economy was transferred with 6.9 percent economic growth performance.Now growth is 3.1.",mostly false,tr,Nihai Cevap: Yarı Doğru,true,False,False
"After 8 years of compulsory education in 1998, there was a decrease in the number of children brides ...",mostly true,tr,Nihai Cevap: Doğru,true,False,False
"Bursa 4th largest city and exports after Istanbul with 11 billion 600 million dollars in the 2nd place, but the budget transfer to the tax rate can not get the share of investments.",true,tr,Nihai Cevap: Yarı Doğru,true,True,False
The huge British royal is ruled with 126 million pounds.Queen Elizabeth remains poor with our president.,half true,tr,Nihai Cevap: Yanlış,false,False,False
The highest minimum wage in OECD countries compared to national income is in Turkey.,mostly true,tr,Nihai Cevap: Yanlış,false,False,False
Is the registration of 64 candidates from 60 constituencies in Musavat is not enough for free airtime?,half true,az,Son Cavab: Yanlış,false,False,False
"When the AK Party came to power, there were 84 embassies in Ankara, now there are 117 embassies.",mostly true,tr,Nihai Cevap: Doğru,true,False,False
Re: Is public of Artsakh Telegram Candidiary related to Azerbaijani soldiers?,false,az,Son Cavab: Yanlış,false,True,False
"Azerbaijan is dominating the tradition of tolerance and multiculturalism, joint living",true,az,Son Cavab: Əsasən Doğru,true,True,False
