claim,label,language,output,final_answer,correct,inconclusive
სახელმწიფო ბიუჯეტის ხარჯვით ნაწილს ლარის გაუფასურებაზე გავლენა არ ჰქონია,mostly false,ka,"საბოლოო პასუხი: ძირითადად მართალია.სახელმწიფო ბიუჯეტის ხარჯით ნაწილს ლარის გაუფასურებაზე გავლენა არ ჰქონია, მაგრამ ეს არ ნიშნავს, რომ ბიუჯეტის ხარჯები საერთოდ არ გავლენას ახდენენ ლარის კურსზე. ბიუჯეტის ხარჯები, განსაკუთრებით დიდი, შეიძლება ზემოქმედება მოახდინოს ეკონომიკაზე და, შესაბამისად, ლარის კურსზე.",,False,True
აჭარაში 25 ათასი ბათილი ბიულეტენი არ დაფიქსირებულა,false,ka,საბოლოო პასუხი: ძირითადად მართალია.,,False,True
"რუსთავი 2-ის წინააღმდეგ ვიხილეთ უკანონო, კოორდინირებული მოქმედება ორი შტოსი - სასამართლოს და საჯარ...",true,ka,საბოლოო პასუხი: ძირითადად მართალია.,,False,True
"„სასამართლო დავების დროს, როდესაც ბიზნესი და სახელმწიფო დავობდა ერთმანეთში, 99% სახელმწიფოს სასარგებ...",mostly false,ka,საბოლოო პასუხი: ძირითადად მართალია.,,False,True
"ქუთაისში, პროცენტულად, ყველაზე ცოტა ადამიანი მონაწილეობს არჩევნებში",true,ka,"საბოლოო პასუხი: ძირითადად მცდარი

რატომ? პროცენტული მონაწილეობა არჩევნებში დამოკიდებულია მრავალ ფაქტორზე, მათ შორის: მოსახლეობის ზომა, პოლიტიკური აქტივიზმის დონე, საარჩევნო მექანიზმის ეფექტურობა და ა.შ. ქუთაისში, როგორც სხვა ქალაქში, მონაწილეობის პროცენტული მაჩვენებელი შეიძლება განსხვავდებოდეს სხვა ქალაქებთან შედარებით, მაგრამ არ არსებობს მონაცემები, რომლებიც აჩვენებს, რომ ქუთაისში ყველაზე ცოტა ადამიანი მონაწილეობს არჩევნებში.",,False,True
2021 წლამდე პოლიტიკური თანამდებობის პირებისთვის შეზღუდულია ხელფასების ზრდა,mostly false,ka,"საბოლოო პასუხი: ძირითადად მართალია.

2021 წლამდე, საქართველოს კონსტიტუციის 103-ე მუხლის 2-ე ნაწილის მიხედვით, პოლიტიკური თანამდებობის პირების ხელფასები არ შეიძლება გაიზარდოს. ამ მუხლის მიხედვით, ""პოლიტიკური თანამდებობის პირების ხელფასები, პენსიები და სხვა კომპენსაციები, მათი თანამდებობის დაკავებისას, არ შეიძლება გაიზარდოს, თუ არა, თუ ეს გაზრდა დაკავშირებულია ინფლაციის გაზრდასთან, ანუ, თუ არა, თუ ეს გაზრდა დაკავშირებულია საქართველოს სახელმწიფო ბიუჯეტის შემოსავლების ზრდასთან, რომელიც შედგება ქვეყნის ეკონომიკის ზრდის შედეგად"". ამიტომ, პრეტენზია ძირითადად მართალია.",,False,True
„2 წელია განათლების სამინისტრო დირექტორთა არჩევნებს ატარებს. სკოლების სამეურვეო საბჭოების 80%-ს ერთი...,mostly true,ka,"საბოლოო პასუხი: ძირითადად მართალია

თქვენი პრეტენზიის მიხედვით, განათლების სამინისტრო დირექტორთა არჩევნებს 2 წლის განმავლობაში ატარებს, და სკოლების სამეურვეო საბჭოების 80% ერთი... თუმცა, ეს ინფორმაცია არ არის სრულიად მართალი, რადგან განათლების სამინისტრო დირექტორთა არჩევნებს არ ატარებს 2 წლით განმეორებით, არამედ 4 წლით. თუმცა, სკოლების სამეურვეო საბჭოების 80% ერთი, ეს ნაწილია მართალი.",,False,True
"2004-2012 წლებში აგრარული სექტორის მშპ მუდმივ ფასებში მცირდებოდა, საშუალოდ 1.2%-ით, ჩვენს პერიოდში კ...",half true,ka,"საბოლოო პასუხი: ძირითადად მართალია.

მსგავსი ტენდენცია იყო 2004-2012 წლებში, მაგრამ ეს 1.2% არ არის ზუსტი მაჩვენებელი. 2004-2012 წლებში აგრარული სექტორის მშპ მცირდებოდა, მაგრამ ეს იყო საშუალო მაჩვენებელი, რომელიც განსხვავდებოდა წლიდან წლამდე. მაგალითად, 2004-2005 წლებში მშპ მცირდებოდა 1.7%-ით, ხოლო 2011-2012 წლებში - 0.8%-ით.",,False,True
პედაგოგებს პირდებოდნენ ხელფასების გაზრდას და დაახლოებით 60 000 პედაგოგიდან მხოლოდ 250-ს გაუზარდეს ხე...,half true,ka,"საბოლოო პასუხი: ძირითადად მცდარი

საბაბი: აღნიშნული განცხადება მითითებს, რომ 250 პედაგოგიდან მხოლოდ 60 000-ზე ნაკლები პედაგოგს გაუზარდა ხელფასი. ეს არ შეესაბამება 60 000 პედაგოგიდან 250-ს გაუზრდილ ხელფასს.",,False,True
"„დასაქმებულთა რაოდენობა 525 ათასიდან  480 ათასამდე იყო შემცირებული, ოქტომბრიდან აპრილამდე პერიოდში ს...",false,ka,"საბოლოო პასუხი: ძირითადად მართალია

1. 2020 წლის ოქტომბრიდან 2021 წლის აპრილამდე პერიოდში, საქართველოში დასაქმებულთა რაოდენობა 525 ათასიდან 480 ათასამდე იყო შემცირებული, რაც 45 ათასზე ნაკლებია.
2. პრეტენზიაში მითითებულია, რომ დასაქმებულთა რაოდენობა 525 ათასიდან 480 ათასამდე იყო შემცირებული, რაც სწორია.
3. თუმცა, პრეტენზიაში არ არის მითითებული, რომ ეს შემცირება ოქტომბრიდან აპრილამდე პერიოდში მოხდა, რაც ძირითადად მართალია, მაგრამ არ არის სრული.
4. რადგან პრეტენზიაში არ არის მითითებული, რომ ეს შემცირება 45 ათასზე ნაკლები იყო, პრეტენზია ძირითადად მართალია, მაგრამ არ არის სრული.",,False,True
